Crop,Yield,Demand_Score,Supply_Score,Yield_log,Yield_norm,Demand_norm,Supply_norm,Total_Score
other oilseeds,1.5693973214285712,30.78307142857143,14.687482142857142,0.9436713661257541,0.09313521561984994,0.4017089290326736,0.18322010698347768,0.25259865753043054
Moong(Green Gram),0.4940984405458089,32.10657699805068,15.703369395711501,0.40152297513284674,0.03271836573181813,0.41898024018555685,0.19589286936308314,0.25249291696581966
Sunflower,1.0316691612098534,30.826606173994385,14.947429373246024,0.7088577020953083,0.0669676531460331,0.4022770431014775,0.1864628383719255,0.24888948321856783
Small millets,0.6904564541213064,31.572569206842925,14.893625194401244,0.5249985836629606,0.04647844955634961,0.41201161464086655,0.1857916540730637,0.24841699739684203
Khesari,0.7979180887372014,28.03684869169511,17.730824800910124,0.5866293781358213,0.05334656633029698,0.3658716280968144,0.2211845151762749,0.24549177057529514
Other  Rabi pulses,0.7294908455050401,30.645653157786462,14.29728862373997,0.5478270562356831,0.04902244751615775,0.39991566592328437,0.17835260841418235,0.24111179923821824
Horse-gram,0.48570972320794886,30.457229713744976,14.806330731014905,0.3958925861695717,0.032090916918067314,0.3974568021258174,0.18470269268641182,0.23928198130850517
Sesamum,0.46383508677277224,30.983838683571623,14.00031471989929,0.3810597635471089,0.03043795172867351,0.40432887549182067,0.1746479849869837,0.23767833453725645
Other Kharif pulses,0.5627329952788949,30.186188144780555,14.16203357230285,0.4464362084900807,0.03772348263857596,0.39391979904785374,0.17666535904405006,0.23577875976447674
Castor seed,0.7336247478143914,30.523490248823137,13.336030038108047,0.5502144465271319,0.04928849755570218,0.3983214802540264,0.16636131547607183,0.23573081780317973
Linseed,0.5447454175152749,29.352354039375424,12.986238968092328,0.4348591184650066,0.03643333528813536,0.38303853899391643,0.1619978203142198,0.22530121078088156
Moth,0.3656387362637363,29.342706043956046,12.598289835164836,0.3116222578425249,0.022699857456974223,0.3829126358358699,0.15715831951021778,0.2205683536298299
Safflower,0.542084755403868,28.125546075085325,13.176638225255973,0.43313523822458794,0.036241226604533855,0.3670290996952012,0.16437297024991268,0.21980907329895233
Niger seed,0.37915007112375537,28.716404694167853,12.913655761024181,0.3214674189406237,0.023796999180659802,0.37473960979267856,0.16109237560729994,0.21909219399612337
Coriander,0.6768673978065803,27.808548354935194,11.566743768693918,0.5169274086394051,0.04557900029500418,0.36289238400187646,0.14429022007568656,0.21198884169002608
Cardamom,0.11396521739130434,30.584,10.07535652173913,0.10792591785004868,0.0,0.3991111125490913,0.12568579705184382,0.20991876384037406
Other Summer Pulses,0.5476119402985075,28.466119402985075,10.277014925373136,0.4367130591792207,0.03663993787092057,0.3714734692937696,0.12820140006184705,0.2071979353164308
Sannhamp,1.3767828685258965,25.80979415670651,10.954488711819389,0.8657478373507762,0.08445144154810294,0.33680930095952694,0.1366525980564298,0.2062750479160033
